epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13664.4,1.30961,0.53366,1.12707,0.98007,0.98978,0.99235,0.59095,1.06118,0.39546,0.85896,0.000662755,0.000662755,0.000662755
43,13989.5,1.27846,0.52262,1.11675,0.98597,0.98878,0.99288,0.5882,1.07208,0.3945,0.86108,0.00065642,0.00065642,0.00065642
44,14314.7,1.28751,0.52468,1.12165,0.98253,0.99049,0.99132,0.59525,1.05809,0.43742,0.85446,0.000649975,0.000649975,0.000649975
45,14639.9,1.29357,0.5232,1.11572,0.98532,0.98609,0.99,0.59121,1.05924,0.4234,0.85736,0.000643421,0.000643421,0.000643421
46,14964.9,1.26984,0.51708,1.11313,0.98674,0.98822,0.9906,0.59484,1.05966,0.38622,0.85819,0.000636763,0.000636763,0.000636763
47,15289.7,1.27239,0.51617,1.11233,0.98489,0.98622,0.99306,0.59896,1.05521,0.50627,0.85546,0.000630003,0.000630003,0.000630003
48,15615.2,1.26137,0.51246,1.11055,0.98494,0.98587,0.99156,0.60372,1.04285,0.40301,0.84989,0.000623143,0.000623143,0.000623143
49,15939.8,1.2548,0.5111,1.1077,0.98617,0.98606,0.99339,0.60507,1.03506,0.4674,0.84727,0.000616187,0.000616187,0.000616187
50,16265.1,1.25005,0.51318,1.10083,0.98433,0.98952,0.99292,0.60482,1.03299,0.3728,0.84717,0.000609139,0.000609139,0.000609139
51,16589.9,1.23897,0.51527,1.09654,0.98135,0.99042,0.99355,0.60822,1.02846,0.41064,0.84444,0.000602,0.000602,0.000602
52,16913.4,1.23114,0.50504,1.09606,0.98584,0.98942,0.99376,0.609,1.02689,0.38103,0.84366,0.000594774,0.000594774,0.000594774
53,17234,1.22193,0.49671,1.09152,0.98288,0.98863,0.99301,0.61014,1.02524,0.45823,0.84201,0.000587465,0.000587465,0.000587465
54,17558.5,1.22128,0.50144,1.08877,0.98778,0.98842,0.99107,0.61034,1.01701,0.41969,0.84101,0.000580076,0.000580076,0.000580076
55,17882.7,1.20364,0.49344,1.08452,0.98478,0.99059,0.99314,0.61651,1.00517,0.41908,0.83472,0.000572609,0.000572609,0.000572609
56,18207.1,1.19249,0.48547,1.07947,0.9844,0.99026,0.99317,0.61416,1.00605,0.44284,0.83566,0.000565068,0.000565068,0.000565068
57,18530.9,1.19978,0.4899,1.07953,0.9865,0.98755,0.99308,0.62279,1.00071,0.35471,0.83123,0.000557456,0.000557456,0.000557456
58,18855.1,1.19634,0.4921,1.07755,0.98427,0.98886,0.9935,0.61725,1.00731,0.36263,0.83386,0.000549777,0.000549777,0.000549777
59,19179.4,1.1861,0.48466,1.0765,0.98914,0.98747,0.99342,0.61833,1.00391,0.38558,0.83415,0.000542035,0.000542035,0.000542035
60,19503.4,1.1738,0.4813,1.07191,0.986,0.99191,0.99309,0.62032,0.99276,0.36412,0.82939,0.000534231,0.000534231,0.000534231
61,19827.4,1.16975,0.47737,1.06876,0.98738,0.98873,0.99322,0.62584,0.98417,0.37475,0.82592,0.000526371,0.000526371,0.000526371
62,20151.8,1.16636,0.47798,1.06949,0.98655,0.99098,0.9932,0.62693,0.98289,0.37046,0.8244,0.000518457,0.000518457,0.000518457
63,20475.8,1.15892,0.47411,1.06397,0.98853,0.98733,0.9933,0.62845,0.97657,0.41224,0.82312,0.000510492,0.000510492,0.000510492
64,20799.9,1.15254,0.47189,1.05924,0.98704,0.99117,0.99266,0.62847,0.97888,0.36294,0.82413,0.000502481,0.000502481,0.000502481
