epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3191.38,1.60667,0.80581,1.07466,0.97616,0.97604,0.98394,0.54663,1.18734,0.74286,0.83151,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3288.78,1.59992,0.79791,1.07214,0.97717,0.96972,0.98531,0.5498,1.18202,0.67476,0.82908,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3385.64,1.59553,0.79723,1.0745,0.97746,0.9713,0.98582,0.5597,1.17307,0.50125,0.82657,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3479.6,1.59304,0.78782,1.07135,0.9682,0.97637,0.98253,0.55005,1.17771,0.71306,0.82636,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3575.5,1.58666,0.78857,1.06661,0.97769,0.97035,0.98198,0.55267,1.16638,0.49161,0.82601,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3673.52,1.57995,0.77594,1.06736,0.9758,0.97693,0.98556,0.55911,1.16243,0.53001,0.82112,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3770.97,1.58044,0.77881,1.06484,0.98149,0.97929,0.98672,0.56088,1.16644,0.63134,0.81938,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3869.81,1.57221,0.78028,1.06312,0.96984,0.9787,0.98598,0.56409,1.14632,0.58933,0.8156,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3967.08,1.5722,0.76095,1.06078,0.9747,0.97521,0.98478,0.56547,1.15296,0.63158,0.81576,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4065.28,1.54917,0.75614,1.05572,0.98082,0.98154,0.98874,0.57419,1.14762,0.49744,0.81501,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4162.35,1.55695,0.7628,1.05665,0.97987,0.98251,0.98869,0.56857,1.15125,0.51866,0.81451,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4263.96,1.55085,0.74695,1.05644,0.98168,0.98066,0.98891,0.57621,1.13875,0.4909,0.81285,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4363.25,1.53852,0.74506,1.04941,0.98371,0.98054,0.98781,0.57133,1.13277,0.48369,0.80753,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4461.92,1.53609,0.73161,1.05364,0.98267,0.97728,0.98535,0.57367,1.13825,0.51741,0.80889,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4564.38,1.53689,0.72794,1.05031,0.98141,0.98332,0.98808,0.5814,1.12772,0.48789,0.80805,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4668.75,1.53032,0.73427,1.04614,0.97683,0.98101,0.98756,0.58022,1.12637,0.47157,0.80701,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4771.33,1.51788,0.72164,1.04811,0.97873,0.98248,0.98725,0.58124,1.12392,0.45893,0.80679,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4873.26,1.5227,0.72472,1.04889,0.97657,0.98601,0.98788,0.5824,1.12788,0.51379,0.80769,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4975.94,1.51387,0.7205,1.04217,0.9758,0.98423,0.9876,0.58166,1.12916,0.5104,0.80904,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5078.15,1.51372,0.70584,1.04515,0.98023,0.97624,0.9897,0.58624,1.12615,0.51185,0.80606,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5179.82,1.5069,0.70376,1.04186,0.97501,0.98282,0.98872,0.58324,1.12154,0.50088,0.80506,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5282.63,1.48754,0.70312,1.04249,0.97792,0.98183,0.98942,0.58593,1.11477,0.49906,0.80332,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5383.28,1.492,0.70417,1.03657,0.97998,0.98144,0.98942,0.58969,1.10606,0.52814,0.79872,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5486.06,1.49774,0.69822,1.0368,0.97936,0.97994,0.98891,0.58812,1.11837,0.48706,0.79955,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5588.21,1.48697,0.69571,1.03405,0.9823,0.97477,0.98968,0.59297,1.10799,0.50718,0.79717,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5689.77,1.47999,0.69033,1.03066,0.98142,0.98143,0.98921,0.5924,1.10537,0.49146,0.79655,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5791.76,1.46751,0.68391,1.0311,0.98131,0.98128,0.98856,0.59308,1.10489,0.47175,0.79777,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5894.26,1.46537,0.68003,1.02688,0.979,0.98457,0.98925,0.59791,1.09344,0.48339,0.79495,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5996.69,1.47008,0.68253,1.02708,0.97945,0.98447,0.98797,0.59601,1.10037,0.46485,0.79604,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6099.45,1.46492,0.67461,1.02654,0.98196,0.98617,0.98896,0.60361,1.09133,0.48734,0.79307,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6200.64,1.45981,0.67449,1.02445,0.98175,0.9865,0.98916,0.60069,1.0931,0.46758,0.79434,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6303.59,1.44288,0.66928,1.02049,0.97932,0.98758,0.98902,0.60615,1.08717,0.45388,0.7919,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6405.89,1.43947,0.67151,1.0192,0.97644,0.98726,0.98801,0.60124,1.0872,0.45013,0.79212,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6508.78,1.43067,0.65936,1.01627,0.9826,0.98341,0.98822,0.60254,1.08688,0.48186,0.79143,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6610.71,1.42884,0.6567,1.01849,0.98295,0.98278,0.98935,0.6071,1.08221,0.44443,0.79041,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6713.19,1.43256,0.65534,1.0156,0.979,0.98845,0.98997,0.60932,1.07612,0.43797,0.78905,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6815.25,1.41415,0.65422,1.01147,0.98223,0.9878,0.98952,0.61386,1.0679,0.418,0.78665,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6917.38,1.40958,0.64562,1.01185,0.98134,0.98807,0.99089,0.61497,1.0647,0.41545,0.78512,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7019.63,1.40555,0.64952,1.01179,0.97996,0.98517,0.98998,0.61275,1.06715,0.43364,0.786,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7121.68,1.40542,0.64821,1.00692,0.97673,0.98872,0.99017,0.6112,1.06842,0.4205,0.78619,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7224.94,1.3958,0.64672,1.00623,0.97915,0.98709,0.99031,0.60959,1.06878,0.43818,0.78668,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7326.7,1.38995,0.63856,1.01074,0.97954,0.98656,0.9909,0.61139,1.07027,0.44541,0.78667,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7428.33,1.38689,0.63589,1.00278,0.9783,0.9866,0.98961,0.61502,1.06591,0.44908,0.78523,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7531.27,1.38693,0.63391,1.00215,0.98183,0.98589,0.99044,0.6179,1.06088,0.43635,0.78344,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7631.53,1.37032,0.62624,1.00379,0.98146,0.98589,0.99007,0.61884,1.05665,0.43733,0.78218,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
