epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,0.916082,0.706147,0.382904,0.958410,0.958749,0.00008154
2,0.316517,0.982182,0.274692,0.993068,0.993255,0.00019896
3,0.275323,0.993888,0.266348,0.992144,0.992432,0.00037195
4,0.265880,0.995272,0.265474,0.994917,0.995102,0.00057057
5,0.265943,0.994926,0.265439,0.995841,0.995868,0.00076043
6,0.259767,0.996194,0.261352,0.994917,0.995039,0.00090868
7,0.261846,0.995560,0.259204,0.996303,0.996443,0.00098965
8,0.255223,0.997463,0.261325,0.993068,0.993480,0.00099965
9,0.254804,0.997290,0.254631,0.996765,0.996821,0.00099691
10,0.253003,0.997578,0.252340,0.997227,0.997382,0.00099146
11,0.252102,0.998155,0.252248,0.996765,0.996905,0.00098332
12,0.251094,0.997982,0.249086,0.997227,0.997383,0.00097255
13,0.253454,0.997117,0.251945,0.996765,0.996801,0.00095919
14,0.249226,0.998616,0.256699,0.994917,0.995089,0.00094333
15,0.248546,0.998731,0.249241,0.998152,0.998204,0.00092504
16,0.249307,0.998385,0.252132,0.995379,0.995466,0.00090443
17,0.248924,0.998385,0.249441,0.995841,0.995997,0.00088162
18,0.248831,0.998270,0.244482,0.998614,0.998660,0.00085672
19,0.246104,0.999250,0.246476,0.998152,0.998199,0.00082987
20,0.248844,0.998385,0.246120,0.998152,0.998204,0.00080122
21,0.243756,0.999942,0.244950,0.999076,0.999082,0.00077092
22,0.245354,0.999366,0.246490,0.998614,0.998624,0.00073915
23,0.246512,0.999193,0.244325,0.998614,0.998681,0.00070607
24,0.246628,0.999077,0.244776,0.999076,0.999109,0.00067186
25,0.243972,0.999769,0.243489,0.999076,0.999082,0.00063671
26,0.243345,0.999769,0.249069,0.997227,0.997339,0.00060082
27,0.243228,0.999942,0.242941,0.999076,0.999115,0.00056438
28,0.242963,0.999942,0.243874,0.999076,0.999115,0.00052759
29,0.242778,0.999942,0.242065,0.999538,0.999571,0.00049064
30,0.242696,0.999942,0.241241,1.000000,1.000000,0.00045375
31,0.242954,0.999885,0.241625,0.999538,0.999539,0.00041711
32,0.242380,0.999942,0.242261,0.999076,0.999055,0.00038092
33,0.243974,0.999366,0.244967,0.998614,0.998633,0.00034539
34,0.243158,0.999885,0.244227,0.998152,0.998204,0.00031070
35,0.242271,1.000000,0.243232,0.999076,0.999082,0.00027704
36,0.242149,1.000000,0.243480,0.998614,0.998633,0.00024460
37,0.242053,1.000000,0.242961,0.999538,0.999544,0.00021355
38,0.242143,0.999942,0.242371,0.999538,0.999544,0.00018407
39,0.241961,1.000000,0.242410,0.999538,0.999544,0.00015632
40,0.241915,1.000000,0.242448,0.999538,0.999544,0.00013044
