epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6596.26,1.29828,0.53748,1.12231,0.97857,0.99028,0.98996,0.57874,1.08682,0.4989,0.87021,0.000828443,0.000828443,0.000828443
43,6752.38,1.2957,0.54111,1.12211,0.97932,0.99104,0.99116,0.58892,1.06459,0.57475,0.86268,0.000820525,0.000820525,0.000820525
44,6908.62,1.27587,0.53602,1.11324,0.98168,0.99213,0.99138,0.59291,1.05738,1.00867,0.85866,0.000812468,0.000812468,0.000812468
45,7065.33,1.27541,0.53638,1.10937,0.98141,0.98983,0.99062,0.59472,1.05927,0.4688,0.8585,0.000804277,0.000804277,0.000804277
46,7222.5,1.2722,0.53382,1.10949,0.9821,0.98767,0.99064,0.59757,1.04996,0.38385,0.8568,0.000795954,0.000795954,0.000795954
47,7379.19,1.26452,0.53283,1.10584,0.98176,0.98877,0.99103,0.59443,1.05504,0.67414,0.85713,0.000787503,0.000787503,0.000787503
48,7535.72,1.25324,0.52116,1.09856,0.98226,0.9918,0.99122,0.60096,1.03286,0.67061,0.84982,0.000778929,0.000778929,0.000778929
49,7692.43,1.2394,0.52359,1.09657,0.98234,0.98346,0.99244,0.60268,1.0358,0.48249,0.85142,0.000770234,0.000770234,0.000770234
50,7848.67,1.2452,0.52248,1.10087,0.97986,0.99405,0.99125,0.60436,1.03507,0.54444,0.85258,0.000761423,0.000761423,0.000761423
51,8005.49,1.22665,0.51158,1.0934,0.98289,0.98909,0.99058,0.60316,1.02958,0.52113,0.84802,0.0007525,0.0007525,0.0007525
52,8161.47,1.21843,0.51163,1.0865,0.98262,0.98953,0.99097,0.60864,1.02578,0.39259,0.84657,0.000743468,0.000743468,0.000743468
53,8317.44,1.21921,0.51125,1.08973,0.98301,0.99209,0.99147,0.61065,1.01626,0.41464,0.8433,0.000734332,0.000734332,0.000734332
54,8473.85,1.21378,0.50662,1.08735,0.98547,0.99109,0.99135,0.60936,1.01544,0.35533,0.84402,0.000725094,0.000725094,0.000725094
55,8630.67,1.20604,0.5143,1.08353,0.98576,0.98902,0.99181,0.61242,1.01343,0.38359,0.84313,0.000715761,0.000715761,0.000715761
56,8787.05,1.19277,0.50219,1.07921,0.98428,0.98768,0.99121,0.61566,1.00703,0.56667,0.83848,0.000706335,0.000706335,0.000706335
57,8943.72,1.20085,0.50887,1.07888,0.98444,0.99223,0.99251,0.6181,0.99942,0.36075,0.83587,0.00069682,0.00069682,0.00069682
58,9100.05,1.18508,0.50083,1.07323,0.98218,0.99229,0.99197,0.61598,1.0032,0.41422,0.83767,0.000687222,0.000687222,0.000687222
59,9256.76,1.17446,0.4971,1.06753,0.98506,0.99018,0.99173,0.62386,0.98693,0.36477,0.83302,0.000677543,0.000677543,0.000677543
60,9413.43,1.15264,0.48931,1.06152,0.98327,0.99248,0.99211,0.62481,0.98805,0.3496,0.83289,0.000667789,0.000667789,0.000667789
61,9570.63,1.16825,0.4912,1.06738,0.98427,0.99435,0.99217,0.62474,0.99079,0.3503,0.83482,0.000657963,0.000657963,0.000657963
62,9726.65,1.15702,0.48988,1.05934,0.98314,0.99447,0.9916,0.63125,0.97694,0.35089,0.82802,0.000648071,0.000648071,0.000648071
63,9883.2,1.14884,0.48579,1.05645,0.98321,0.99295,0.99153,0.63071,0.97298,0.36253,0.8273,0.000638115,0.000638115,0.000638115
64,10039.8,1.14541,0.48292,1.05809,0.98614,0.98834,0.99242,0.63678,0.96473,0.36736,0.82465,0.000628101,0.000628101,0.000628101
65,10196.7,1.13829,0.48083,1.05253,0.98231,0.99158,0.99237,0.63448,0.96187,0.45428,0.82554,0.000618034,0.000618034,0.000618034
